lat;long;adresse;commune;codepostal
48.94616;3.13144;AIRE DE CHANGIS A4;LA FERTé-SOUS-JOUARRE;77260
48.97018;3.06256;AUTOROUTE A 4 aire d'ussy sur marne;Ussy-sur-Marne;77260
48.3468893658;2.58833335512;AIRE DE ACHERES EST A6;URY;77760
48.27772;2.70895;Chemin Latéral de l'Autoroute;Darvault;77140
48.94241;3.13265;AIRE DE CHANGIS A4;La Ferté-sous-Jouarre;77260
48.4279133144;2.92749946387;AUTOROUTE A5;Forges;77130
48.2719581201;2.71504477669;AUTOROUTE6 AIRE DE NEMOURS OUEST;NEMOURS;77140
48.9712703819;3.06509393287;AIRE D'USSY SUR MARNE;USSY SUR MARNE;77260
48.83334;2.79273;Autoroute de l'Est;Ussy-sur-Marne;77260
49.59781;0.52582;Route de Bolleville;Bolleville;76210
49.4945687142;0.998032322778;AUTOROUTE A 15;Saint-Jean-du-Cardonnay;76150
49.61386;0.5463;AUTOROUTE A 29;Bolleville;76210
47.5494659161;-2.46533307518;LE POULHER RN 165;Muzillac;56190
47.1350362483;-0.82627793341;AIRE DE TREMENTINES A87;TREMENTINES;49340
47.41754;-0.13018;AUT A 85   AIRE DE LA COUAILLE;Longué-Jumelles;49160
44.89179;3.24762;AUTOROUTE A75 AIRE DE LA LOZERE - LA GARDE;Albaret-Sainte-Marie;48200
47.41754;-0.13018;AUT A 85   AIRE LES COSSONIERES;Longué-Jumelles;49160
47.71674;7.1604;Aire de la porte d'Alsace A36;Burnhaupt-le-Bas;68520
47.71714;7.13879;AUTOROUTE A 36;Burnhaupt-le-Bas;68520
47.8369131343;7.3954061823;AIRE DE BATTENHEIM;BATTENHEIM;68390
48.7780320924;2.4409920607;A 86 - AIRE DE CARREFOUR POMPADO;CRéTEIL;94000
48.85276;2.48589;RUE PT GAL DE GAULLE;Fontenay-sous-Bois;94120
48.2159947185;4.23011750846;AUTOROUTE A 5 - SENS PROVINCE PA;FRESNOY-LE-CHâTEAU;10270
48.4110575553;4.14348044661;AIRE DE SERVICE - AUTOROUTE A26 SUD;CHARMONT SOUS BARBUISE;10150
48.21103;4.24019;A 5 - Aire de Troyes-Fresnoy;Fresnoy-le-Château;10270
47.16642;-1.50656;A 83 - AIRE DE LA GRASSINIERE;Vertou;44120
45.3382037058;3.26643519556;AUT A 75   AIRE DE LAFAYETTE;LORLANGES;43360
47.3314;-1.62326;RN 137 - Aire de Treillières Ouest;Treillières;44119
48.9315;-1.0761;Lieu-dit La Vallée;Gouvets;50420
49.2438134562;3.91857508837;AUT A 4   AIRE DE GUEUX;GUEUX;51390
49.1474928863;6.18449448877;AUTOROUTE A31;LA MAXE;57140
49.180658695;6.17754931317;AUTOROUTE A31;Woippy;57140
43.3565284257;3.34014009541;AUT A 9   AIRE DE MONTBLANC;SERVIAN;34290
43.67975;4.10417;AUTOROUTE A9  AIRE AMBRUSSUM NORD (direction Nimes Montpellier);Lunel;34400
43.3771751237;3.41475135809;AUT A9   AIRE DE BEZIERS MONTBLANC NORD;MONTBLANC;34290
43.86449;3.31188;AUTOROUTE A 75;Le Caylar;34520
43.71248;4.13135;AUTOROUTE A 9;Villetelle;34400
43.67694;4.13258;AUTOROUTE A 9;LUNEL;34400
43.67697;4.13258;AUTOROUTE A9 AIRE D#039;;
46.68832;4.84479;A6 - AIRE DE ST-AMBREUIL;SAINT-AMBREUIL;71240
46.6892;4.84397;A6 AIRE DE LA FERTE;Saint-Ambreuil;71240
46.41766;4.86506;AUTOROUTE A 6;Saint-Albain;71260
46.6979;4.84328;Route de Saint-Ambreuil;Saint-Ambreuil;71240
46.4212292035;4.86381594018;Aire de Mâcon St Albain - A6;SAINT-ALBAIN;71260
43.88919;1.90967;zone de xansos route de Graulhet;BRENS;81600
43.858285755;1.88797994641;ZA GARRIGUE LONGUE;MONTANS;81600
49.44508407;3.92761870767;AUT A 26- AIRE DU MONT NIZY;Juvincourt-et-Damary;2190
49.44872;3.92652;A26 - Aire du Champ Roland;Guignicourt;2190
49.4475766624;3.92632110989;AUT A 26- AIRE DU MONT NIZY;JUVINCOURT-ET-DAMARY;2190
49.07771;3.37046;autoroute A4 aire de tardenois sud;FRESNES EN TARDENOIS;2130
49.07771;3.37046;Autoroute de l'Est;Fresnes-en-Tardenois;2130
49.07771;3.37046;Aire de Tardenois - A4;Fresnes-en-Tardenois;2130
50.5794520297;2.37017791745;AUTOROUTE A26;RELY;62120
50.5650289985;2.39271605116;Aire de Saint-Hilaire cottes Autoroute A26;SAINT-HILAIRE-COTTES;62120
50.39556;2.75479;Autoroute des Anglais;SOUCHEZ;62153
50.4039631968;2.74447263446;Autoroute A26 aire de Angres;ANGRES;62143
50.2696;2.82456;Rue de Wancourt;WANCOURT;62128
50.40274;2.74682;AUTOROUTE A 26;Souchez;62153
50.2496523595;2.85620766734;Autoroute du Nord;WANCOURT;62128
50.19761;2.87573;Aire de st Leger Autoroute A1;Croisilles;62128
49.93666;2.85194;Autoroute du Nord;Wancourt;62128
50.19946;2.87807;Aire de st Leger Autoroute A1;Croisilles;62128
50.0927326876;3.05053194762;Autoroute A2 Aire d'Havrincourt;HERMIES;62147
50.1256078887;3.08829204303;autoroute a2 aire de graincourt;HERMIES;62147
50.5661823035;2.39406555285;Aire de Saint-Hilaire Cottes A26;SAINT-HILAIRE COTTES;62120
48.7575828377;2.34834600555;A 106 - AIRE DE RUNGIS DELTA PON;RUNGIS;94150
48.78349;2.18878;A 86 - AIRE DE VELIZY OUEST;VéLIZY-VILLACOUBLAY;78140
46.70238;0.37181;autoroute a10;Jaunay-Clan;86130
46.9051346768;0.523218558668;A10 AIRE DE CHATELLERAULT USSEAU;ANTRAN;86100
46.9060061676;0.523588159563;AIRE DE CHATELLERAULT-ANTRAN;Antran;86100
46.86654;-1.01667;A87 AIRE DES HERBIERS;LES HERBIERS;85500
46.67888;0.3785;aire de jaunay clan A10;Jaunay-Clan;86130
46.90894;0.52411;AUTOROUTE A10;Antran;86100
51.00635;2.29531;Place du Courghain;Grande-Synthe;59760
50.2164917975;3.09309061348;AIRE DE BARALLE AUTOROUTE A 26;MARQUION;62860
50.27825;2.96596;Autoroute des Anglais;RUMAUCOURT;62860
45.85192;3.40571;AUTOROUTE A 72;Orléat;63190
45.85094;3.40482;AUTOROUTE A 72;Orléat;63190
45.8626;3.42176;Autoroute  A 89;Orléat;63190
45.6322344377;3.18539214413;AUTOROUTE A 75;AUTHEZAT;63114
50.21101;3.08681;AIRE DE BARALLE AUTOROUTE A 26;Marquion;62860
50.226638905;3.06589347828;Aire de Rumaucourt  Autoroute A26;Rumaucourt;62860
48.74389;2.23407;ROUTE NATIONALE 118;Bièvres;91570
48.64751;2.1938;VOIE EXP F6 LIEUDIT BEAUVERT;Marcoussis;91460
48.63896;2.20734;Rue du Fond des près;Marcoussis;91460
43.3362695376;1.24486306131;AUT A 64   AIRE DE VOLVESTRE;CAPENS;31410
43.7894974967;1.38323531871;Aire du Frontonnais;Castelnau-d'Estrétefonds;31620
