lat;long;noms;lieux;pmr;;;;;;;;
48.0950018431; -1.66712977374;Sainte THERESE Église;Place Hyacinte Perrin Eglise;1;;;;;;;;
48.1049786585; -1.67812897724;COLOMBIER;22 place du Colombier;1;;;;;;;;
48.0814189058; -1.6826759674;BREQUIGNY Parc;Allée Ukraine côté Novotel;1;;;;;;;;
48.0914737727; -1.68251152308;CHAMP MANCEAU;Rue L1s et René Moines;1;;;;;;;;
48.1005880515; -1.70565647822;Marché CLEUNAY;Allée Joseph Germains;1;;;;;;;;
48.0935098469; -1.67389022302;Métro CLEMENCEAU;1 Ave Fréville;1;;;;;;;;
48.1099094163; -1.68826022671;MITTERRAND;Mail F. Mitterrand face au n° 24;1;;;;;;;;
48.1224797704; -1.72136585222;VILLEJEAN Parc;PARC de Villejean N°65;1;;;;;;;;
48.1100410181; -1.68047297971;REPUBLIQUE;Face 1 Quai Lamennais;1;;;;;;;;
48.1047577461; -1.68142727445;COLOMBIA;rez de chaussé Colombia;?;;;;;;;;
48.1103950919; -1.67628543252;Saint GERMAIN;2 place St. Germain;1;;;;;;;;
48.1366668752; -1.64521757826;GAYEULLE écosphère;Rue du Professeur Maurice;;;;;;;;;
48.1310719666; -1.64824580349;GAYEULLES zone centrale;Gayeuilles zone centrale;;;;;;;;;
48.1067049516; -1.67690903705;Le LIBERTE;1 Pl. Esplanade Gl. De Gaulle;?;;;;;;;;
48.127454345; -1.69401658307;PREFECTURE;3 av de la Préfecture;1;;;;;;;;
48.1223232073; -1.70445000773;VILLEJEAN Piscine;1 Sq.d'Alsace;1;;;;;;;;
48.0833865301; -1.65322241716;HOPITAL SUD;16 bd de Bulgarie;1;;;;;;;;
48.1065359882; -1.67734268845;Esplanade G. De GAULLE;Esplanade Gl. De Gaulle;1;;;;;;;;
48.1122971213; -1.67087172261;THABORD PARIS;1 rue de Paris;0;;;;;;;;
48.1128376014; -1.66610433349;DUCHESSE ANNE;Face au 3 Bd. de la Duchesse Anne;0;;;;;;;;
48.0890135355; -1.68898410398;BREQUIGNY Piscine;Bd. Albert Premier;1;;;;;;;;
48.1322310286; -1.642585267;GAYEUILLES Resto;Parc des Gayeulles;1;;;;;;;;
48.097761277; -1.68313257316;VILLENEUVE;Square de Villeneuve 1 r M. Berthelot;1;;;;;;;;
48.0881363724; -1.65653050576;ZAGREB;Place de Zagreb;1;;;;;;;;
48.1125630273; -1.65884646877;Parc OBERTHUR;Parc Hamelin Oberthür;0;;;;;;;;
48.1356057137; -1.6518448622;GAYEUILLES parc des Bois;40 Ave des Gayeulles;1;;;;;;;;
48.0830523028; -1.6916024942;BREQUIGNY Angleterre;84 rue d'Angleterre;;;;;;;;;
48.124822288; -1.68173770383;Cimetière NORD;35 Rue Victor Ségalen;0;;;;;;;;
48.1123930347; -1.68440017364;JUILLET;Face au 5 rue de Juillet;0;;;;;;;;
48.1209671485; -1.68135682614;Saint MARTIN Ecluse;10 Canal St. Martin parking;1;;;;;;;;
48.1130884537; -1.69006865125;Guy H1ST;Sq. Guy H1st;0;;;;;;;;
