lat;long;Geo Shape;PMR;ADRESSE
43.6194733844; 1.46902285782;"{""type"": ""Point"", ""coordinates"": [1.469022857822044, 43.61947338440088]}";T;passage Louis Plana
43.6116556231; 1.43920999755;"{""type"": ""Point"", ""coordinates"": [1.439209997549729, 43.611655623106074]}";F;proche 54 bd d'Arcole
43.5772492236; 1.43991338708;"{""type"": ""Point"", ""coordinates"": [1.439913387080878, 43.577249223577475]}";F;allée Henri Sellier
43.5964691362; 1.4539684741;"{""type"": ""Point"", ""coordinates"": [1.453968474098027, 43.59646913618108]}";F;allée Paul Sabatier
43.6087273756; 1.45045487595;"{""type"": ""Point"", ""coordinates"": [1.450454875949523, 43.608727375640385]}";T;place de Belfort
43.5923829592; 1.45126574709;"{""type"": ""Point"", ""coordinates"": [1.451265747089746, 43.59238295917628]}";F;Jardin des plantes
43.5972647936; 1.44421005367;"{""type"": ""Point"", ""coordinates"": [1.444210053667186, 43.59726479364514]}";T;rue des Prêtres
43.5810433187; 1.44927686176;"{""type"": ""Point"", ""coordinates"": [1.449276861755263, 43.581043318674844]}";F;avenue de l'URSS (proche IUFM)
43.6012405352; 1.45215637239;"{""type"": ""Point"", ""coordinates"": [1.452156372393132, 43.601240535213314]}";F;proche 4 bd Lazare Carnot
43.6053387345; 1.44886838752;"{""type"": ""Point"", ""coordinates"": [1.448868387516534, 43.60533873453212]}";F;proche 81 bd Lazare Carnot
43.5744237229; 1.46234064298;"{""type"": ""Point"", ""coordinates"": [1.462340642979787, 43.574423722858526]}";T;Face à la Poste
43.6132477492; 1.43537733097;"{""type"": ""Point"", ""coordinates"": [1.435377330966334, 43.613247749179784]}";T;Angle rue Laplace
43.5814599471; 1.41326082684;"{""type"": ""Point"", ""coordinates"": [1.413260826840502, 43.581459947115]}";T;2 Rue de Saintonge
43.6032070242; 1.45536590967;"{""type"": ""Point"", ""coordinates"": [1.455365909670454, 43.60320702422202]}";T;bd Jules Michelet
43.6169233555; 1.40808622116;"{""type"": ""Point"", ""coordinates"": [1.408086221159957, 43.616923355515276]}";T;6 Rue T. Holgado
43.5792725227; 1.48357725336;"{""type"": ""Point"", ""coordinates"": [1.483577253364938, 43.579272522737575]}";T;place de l'Ormeau
43.6015525792; 1.43846486506;"{""type"": ""Point"", ""coordinates"": [1.438464865060411, 43.60155257919394]}";F;place de la Daurade
43.6060219509; 1.4467358366;"{""type"": ""Point"", ""coordinates"": [1.446735836604275, 43.60602195089049]}";T;place Victor Hugo
