lat;long;Nom;Adresse;Commune;Pôle;Acces_PMR
 47.2062333816928 ; -1.56481030281344;Parc des chantiers- Bar de la Branche;Parc des chantiers- Bar de la Branche;Nantes;Nantes Loire;1
 47.2052746937977 ; -1.56466112957655;Parc des chantiers - Les Nefs;Parc des chantiers - Les Nefs;Nantes;Nantes Loire;1
 47.2051557694397 ; -1.56737509578747;Parc des chantiers - Station Prouvé;Parc des chantiers - Station Prouvé;Nantes;Nantes Loire;1
 47.2188274242079 ; -1.54098073924425;Jardin des plantes Sud;jardin des plantes;Nantes;Nantes Loire;1
 47.2288298201608 ; -1.56619350364038;Emile Fritsch;place Emile Fritsch;Nantes;Nantes Ouest;1
 47.224487913552 ; -1.57020023210618;Cimetière Pelleterie;rue de la Pelleterie;Nantes;Nantes Ouest;
 47.2303488158409 ; -1.58592716957707;L1s Feuillade;square L1s Feuillade;Nantes;Nantes Ouest;1
 47.2251122614612 ; -1.56319871188901;Capucins;rue Noire - square Capucins;Nantes;Nantes Ouest;1
 47.2274787850822 ; -1.59138915917936;Piscine Dervallières;rue professeur Dubuisson;Nantes;Nantes Ouest;1
 47.2204112289093 ; -1.56185137461257;Viarme;place Viarme  face n°3;Nantes;Nantes Ouest;1
 47.2327954941687 ; -1.57674424164196;Américains;Boulevard des Américains;Nantes;Nantes Ouest;1
 47.2224040424727 ; -1.58197343101717;Jardin d'enfants de Procé;jardin d'enfants de Procé;Nantes;Nantes Ouest;
 47.2235568442375 ; -1.58330065600502;Procé Vallon;parc de Procé Vallon;Nantes;Nantes Ouest;1
 47.223136236766 ; -1.58136598775862;Procé Chateau;parc de Procé Château;Nantes;Nantes Ouest;
 47.2411686325569 ; -1.57710550365362;Gaudinière Haut;parc de la Gaudinière haut;Nantes;Nantes Ouest;1
 47.225270478295 ; -1.55371716601873;Ile de Versailles;Ile de Versailles;Nantes;Nantes Ouest;1
 47.2486596406107 ; -1.52239020890825;La Halluchère;PEM La Haluchère;Nantes;Erdre et Loire;0
 47.2951988547925 ; -1.39286533092106;Eglise;Derrière l'église;Mauves-sur-Loire;Erdre et Loire;
 47.269500798695 ; -1.51780773830689;Tonelliers;Place des Tonelliers;Nantes;Erdre et Loire;0
 47.2211674028578 ; -1.5514622432977;Parking Tournefort;Rue Tournefort;Nantes;Nantes Ouest;1
 47.2171778591698 ; -1.55438473971654;Amiral Halgan;Square de l'Amiral Halgan;Nantes;Nantes Loire;0
 47.2103577905182 ; -1.52336922882544;Crapa;Crapa Beaulieu Parking;Nantes;Nantes Loire;1
 47.1908975024982 ; -1.5297221084211;Crapaudine;Parc potager de la Crapaudine;Nantes;Loire Sèvre Vignoble;1
 47.2177146718177 ; -1.56248778376616;Faustin Helie;Square Faustin Hélie;Nantes;Nantes Loire;1
 47.2465428179967 ; -1.57825267295222;Gaudinière Bas;parc de la Gaudinière bas;Nantes;Nantes Ouest;0
 47.2266524293868 ; -1.51227510942117;Potager tropical;parc du grand blottereau;Nantes;Erdre et Loire;
 47.2226964729384 ; -1.52768342121573;Jean Baptiste Barre;square Jean Baptiste Barré;Nantes;Nantes Loire;0
 47.2043291674751 ; -1.59354973264737;Jean Le Gigant;square Jean Le Gigant;Nantes;Nantes Ouest;0
 47.2006574903376 ; -1.5839366442963;Oblates;parc des Oblates;Nantes;Nantes Ouest;1
 47.2252713684107 ; -1.55369078770185;Ile Versailles Capitainerie;Ile de Versailles;Nantes;Nantes Ouest;1
 47.196458125064 ; -1.54114446382891;Pirmil;à côté du 11 rue Esnoult des Châtelets;Nantes;Loire Sèvre Vignoble;0
 47.2094437080825 ; -1.61282701891088;Denis Forestier;place Denis Forestier;Saint-Herblain;Loire Chézine;0
 47.1413567879381 ; -1.68881374199635;Marché;marché (dans bâtiment);Bouaye;Sud-Ouest;1
 47.1445322159992 ; -1.69329004055767;Eglise;rené Vinet (Eglise);Bouaye;Sud-Ouest;0
 47.1349131478556 ; -1.73293335372255;Eglise;église;Saint-Léger-les-Vignes;Sud-Ouest;0
 47.189950589369 ; -1.68370684991348;Eglise;place de l'Eglise;La Montagne;Sud-Ouest;1
 47.1878812533845 ; -1.68337966299872;Similien Guérin;Place Similien Guérin;La Montagne;Sud-Ouest;1
 47.1957187825113 ; -1.72496219728354;Mairie;local face à la mairie;Saint-Jean-de-Boiseau;Sud-Ouest;1
 47.2061867666696 ; -1.78556903413688;Canal;Route de la Chauffetière;Le Pellerin;Sud-Ouest;1
 47.2030285566745 ; -1.7551368848215;L’Herminier;place du commandant l'Herminier;Le Pellerin;Sud-Ouest;0
 47.2012451258297 ; -1.75513273852254;Halles;à l'arrière des halles (situées rue du Dr Sourdille);Le Pellerin;Sud-Ouest;
 47.169606662585 ; -1.72236087412763;Mairie;mairie;Brains;Sud-Ouest;
 47.1686295224922 ; -1.72043759541334;Eglise;Eglise;Brains;Sud-Ouest;
 47.1807661934522 ; -1.58854385914105;Freinet;Rue Célestin Freinet;Bouguenais;Sud-Ouest;1
