lat;long;Geometry;ARRONDISSEMENT;NUMERO DE VOIE;NOM DE VOIE;HORAIRES OUVERTURE
48.8303257437; 2.37520071297;"{""type"": ""Point"", ""coordinates"": [2.375200712970527, 48.83032574369729]}";13;face 97;RUE DU CHEVALERET;24 h / 24
48.8396342754; 2.36175466277;"{""type"": ""Point"", ""coordinates"": [2.361754662773166, 48.83963427542653]}";13;;BOULEVARD DE L HOPITAL;6 h - 1 h
48.8404714766; 2.32683121793;"{""type"": ""Point"", ""coordinates"": [2.326831217925536, 48.84047147658251]}";14;face 32;BOULEVARD EDGAR QUINET;24 h / 24
48.8244420825; 2.33853893042;"{""type"": ""Point"", ""coordinates"": [2.33853893041639, 48.82444208254364]}";14;face 40;AVENUE REILLE;24 h / 24
48.8421757132; 2.32316498865;"{""type"": ""Point"", ""coordinates"": [2.323164988646387, 48.84217571324312]}";14;23;RUE DU DEPART;24 h / 24
48.8347355513; 2.33680389185;"{""type"": ""Point"", ""coordinates"": [2.3368038918486462, 48.83473555131084]}";14;98;BOULEVARD ARAGO;6 h - 1 h
48.8382702261; 2.34180576785;"{""type"": ""Point"", ""coordinates"": [2.341805767854998, 48.83827022611262]}";14;95;BOULEVARD DE PORT ROYAL;6 h - 22 h
48.8243414263; 2.32111692411;"{""type"": ""Point"", ""coordinates"": [2.321116924107991, 48.82434142631821]}";14;161;BOULEVARD BRUNE;6 h - 22 h
48.8296102487; 2.32630790325;"{""type"": ""Point"", ""coordinates"": [2.326307903251042, 48.829610248695154]}";14;199;AVENUE DU MAINE;6 h - 22 h
48.8394184396; 2.2914579762;"{""type"": ""Point"", ""coordinates"": [2.291457976199311, 48.83941843956059]}";15;150;RUE DE LA CONVENTION;6 h - 22 h
48.844736498; 2.31101424775;"{""type"": ""Point"", ""coordinates"": [2.311014247753456, 48.84473649798762]}";15;6;BOULEVARD PASTEUR;24 h / 24
48.8528463574; 2.29798828688;"{""type"": ""Point"", ""coordinates"": [2.297988286878163, 48.852846357416354]}";15;86;RUE DE LA FEDERATION;24 h / 24
48.8356684765; 2.30259575059;"{""type"": ""Point"", ""coordinates"": [2.302595750589671, 48.83566847654808]}";15;139;RUE DE L ABBE GROULT;6 h - 22 h
48.8510453349; 2.29512257485;"{""type"": ""Point"", ""coordinates"": [2.295122574851614, 48.851045334925004]}";15;face 22;PLACE DUPLEIX;24 h / 24
48.8465213699; 2.31694564817;"{""type"": ""Point"", ""coordinates"": [2.316945648173304, 48.846521369929214]}";15;6;BOULEVARD DU MONTPARNASSE;24 h / 24
48.8621579607; 2.28638203361;"{""type"": ""Point"", ""coordinates"": [2.286382033607376, 48.86215796069435]}";16;;AVENUE PAUL DOUMER;24 h / 24
48.8459388963; 2.26908155009;"{""type"": ""Point"", ""coordinates"": [2.269081550085641, 48.84593889627871]}";16;37;RUE MIRABEAU;6 h - 22 h
48.8458131187; 2.2559870395;"{""type"": ""Point"", ""coordinates"": [2.255987039503988, 48.84581311871515]}";16;face 21;AVENUE DU GENERAL SARRAIL;6 h - 22 h
48.8905508133; 2.30346768685;"{""type"": ""Point"", ""coordinates"": [2.303467686847891, 48.89055081333051]}";17;face 3;AVENUE DE LA PORTE D ASNIERES;6 h - 22 h
48.8818841939; 2.28601752975;"{""type"": ""Point"", ""coordinates"": [2.286017529747108, 48.88188419392366]}";17;51;BOULEVARD GOUVION SAINT CYR;6 h - 22 h
48.8833450337; 2.32631183278;"{""type"": ""Point"", ""coordinates"": [2.326311832778868, 48.88334503374101]}";17;face 10;BOULEVARD DES BATIGNOLLES;24 h / 24
48.884382393; 2.3302750002;"{""type"": ""Point"", ""coordinates"": [2.330275000203259, 48.88438239298197]}";18;face 118;BOULEVARD DE CLICHY;24 h / 24
48.8844550441; 2.34273602653;"{""type"": ""Point"", ""coordinates"": [2.342736026528085, 48.88445504408538]}";18;;PLACE SUZANNE VALADON;24 h / 24
48.8920795027; 2.36154810531;"{""type"": ""Point"", ""coordinates"": [2.361548105312066, 48.8920795026513]}";18;opposé au 10;RUE DE L EVANGILE;6 h - 22 h
48.8884941411; 2.34943063436;"{""type"": ""Point"", ""coordinates"": [2.349430634358364, 48.88849414111792]}";18;43;BOULEVARD BARBES;24 h / 24
48.8832470829; 2.34590618688;"{""type"": ""Point"", ""coordinates"": [2.345906186882481, 48.88324708289284]}";18;face 52;BOULEVARD DE ROCHECHOUART;24 h / 24
48.9010611628; 2.33553744078;"{""type"": ""Point"", ""coordinates"": [2.335537440784673, 48.90106116282343]}";18;opposé au 94;RUE JEAN HENRI FABRE;6 h - 22 h
48.8978997141; 2.32937581204;"{""type"": ""Point"", ""coordinates"": [2.329375812035528, 48.89789971412332]}";18;2;AVENUE DE LA PORTE DE SAINT OUEN;24 h / 24
48.898773308; 2.36929812409;"{""type"": ""Point"", ""coordinates"": [2.369298124088574, 48.89877330803369]}";18;face 3;BOULEVARD NEY;6 h - 22 h
48.8755544143; 2.39779898431;"{""type"": ""Point"", ""coordinates"": [2.397798984308038, 48.87555441425665]}";19;251;RUE DE BELLEVILLE;6 h - 22 h
48.8784476343; 2.37394970898;"{""type"": ""Point"", ""coordinates"": [2.373949708978971, 48.87844763434919]}";19;29;AVENUE MATHURIN MOREAU;6 h - 22 h
48.8958345397; 2.37566147354;"{""type"": ""Point"", ""coordinates"": [2.375661473541809, 48.89583453970983]}";19;92;RUE CURIAL;6 h - 22 h
48.8973126836; 2.38565335157;"{""type"": ""Point"", ""coordinates"": [2.385653351572138, 48.89731268357005]}";19;26 bis;AVENUE CORENTIN CARIOU;24 h / 24
48.8888356217; 2.37903396915;"{""type"": ""Point"", ""coordinates"": [2.379033969150523, 48.88883562170698]}";19;;RUE DE CRIMEE;6 h - 1 h
48.8909604073; 2.37724299499;"{""type"": ""Point"", ""coordinates"": [2.3772429949868332, 48.890960407287245]}";19;100;AVENUE DE FLANDRE;6 h - 22 h
48.8706908077; 2.40935900155;"{""type"": ""Point"", ""coordinates"": [2.409359001552625, 48.8706908077231]}";20;;PLACE DE L ADJUDANT VINCENOT;6 h - 22 h
48.8667550376; 2.38338973341;"{""type"": ""Point"", ""coordinates"": [2.383389733409092, 48.86675503761971]}";20;face 148;BOULEVARD DE MENILMONTANT;24 h / 24
48.8583381123; 2.41471511824;"{""type"": ""Point"", ""coordinates"": [2.414715118235164, 48.85833811229018]}";20;;AVENUE DU PROFESSEUR ANDRE LEMIERE;6 h - 22 h
48.8553275619; 2.41523391124;"{""type"": ""Point"", ""coordinates"": [2.415233911242912, 48.85532756186436]}";20;12;AVENUE DU PROFESSEUR ANDRE LEMIERE;6 h - 22 h
48.8570490165; 2.4045172617;"{""type"": ""Point"", ""coordinates"": [2.404517261700919, 48.85704901651628]}";20;face 121;RUE DES PYRENEES;6 h - 22 h
48.8649497422; 2.39471760215;"{""type"": ""Point"", ""coordinates"": [2.394717602147172, 48.864949742210534]}";20;face 4;PLACE MARTIN NADAUD;24 h / 24
48.8684257357; 2.38988864716;"{""type"": ""Point"", ""coordinates"": [2.3898886471572203, 48.86842573567739]}";20;3;RUE SORBIER;24 h / 24
48.8631566853; 2.34183617987;"{""type"": ""Point"", ""coordinates"": [2.341836179865835, 48.863156685268876]}";1;39;PLACE DES DEUX ECUS;24 h / 24
48.8602837777; 2.34647836638;"{""type"": ""Point"", ""coordinates"": [2.34647836638173, 48.86028377771548]}";1;2;RUE DE LA LINGERIE;24 h / 24
48.8689183629; 2.34062639783;"{""type"": ""Point"", ""coordinates"": [2.340626397833137, 48.8689183629196]}";2;face 13;PLACE DE LA BOURSE;6 h - 22 h
48.8702743131; 2.33066568733;"{""type"": ""Point"", ""coordinates"": [2.330665687327337, 48.8702743131037]}";2;27;BOULEVARD DES CAPUCINES;24 h / 24
48.8499307054; 2.36673549452;"{""type"": ""Point"", ""coordinates"": [2.366735494522012, 48.849930705384836]}";4;21 bis;BOULEVARD BOURDON;6 h - 22 h
48.8564861574; 2.34979645991;"{""type"": ""Point"", ""coordinates"": [2.349796459913592, 48.856486157358184]}";4;6;QUAI DE GESVRES;24 h / 24
48.8526426927; 2.36835669665;"{""type"": ""Point"", ""coordinates"": [2.368356696645447, 48.85264269270479]}";4;41;BOULEVARD BOURDON;24 h / 24
48.8602128675; 2.35039774649;"{""type"": ""Point"", ""coordinates"": [2.350397746492964, 48.86021286751078]}";4;face 2;RUE AUBRY LE BOUCHER;24 h / 24
48.8582009701; 2.3497975967;"{""type"": ""Point"", ""coordinates"": [2.349797596697657, 48.8582009700761]}";4;14;RUE SAINT MARTIN;24 h / 24
48.8605238452; 2.35117112561;"{""type"": ""Point"", ""coordinates"": [2.351171125609475, 48.860523845175756]}";4;115;RUE SAINT MARTIN;24 h / 24
48.8403933132; 2.3612732609;"{""type"": ""Point"", ""coordinates"": [2.361273260901118, 48.84039331319135]}";5;4;RUE POLIVEAU;24 h / 24
48.849330259; 2.35484617831;"{""type"": ""Point"", ""coordinates"": [2.35484617831496, 48.84933025898464]}";5;9;BOULEVARD SAINT GERMAIN;6 h - 22 h
48.8461292375; 2.34004429125;"{""type"": ""Point"", ""coordinates"": [2.340044291249991, 48.846129237525595]}";6;face 73;BOULEVARD SAINT MICHEL;24 h / 24
48.8527219832; 2.33459026841;"{""type"": ""Point"", ""coordinates"": [2.334590268412054, 48.85272198320083]}";6;17;RUE DU FOUR;24 h / 24
48.8516268274; 2.32518012982;"{""type"": ""Point"", ""coordinates"": [2.32518012982191, 48.85162682743579]}";7;face 12;RUE DE BABYLONE;24 h / 24
48.8651933385; 2.30018344606;"{""type"": ""Point"", ""coordinates"": [2.30018344605526, 48.865193338474064]}";8;2;AVENUE MARCEAU;24 h / 24
48.8701413113; 2.31016091273;"{""type"": ""Point"", ""coordinates"": [2.310160912731215, 48.87014131131522]}";8;4;AVENUE FRANKLIN D ROOSEVELT;6 h - 22 h
48.8746134859; 2.30236199297;"{""type"": ""Point"", ""coordinates"": [2.302361992970424, 48.87461348591688]}";8;face 19;AVENUE DE FRIEDLAND;24 h / 24
48.8754179857; 2.31511516886;"{""type"": ""Point"", ""coordinates"": [2.31511516886159, 48.87541798569831]}";8;face 4;AVENUE DE MESSINE;24 h / 24
48.8820890178; 2.33916330241;"{""type"": ""Point"", ""coordinates"": [2.339163302411379, 48.882089017822835]}";9;5;BOULEVARD DE CLICHY;24 h / 24
48.883534879; 2.33353024813;"{""type"": ""Point"", ""coordinates"": [2.333530248134982, 48.88353487898769]}";9;74;BOULEVARD DE CLICHY;24 h / 24
48.883981308; 2.33178483408;"{""type"": ""Point"", ""coordinates"": [2.331784834078105, 48.8839813080106]}";9;65;BOULEVARD DE CLICHY;24 h / 24
48.8779817762; 2.37008390154;"{""type"": ""Point"", ""coordinates"": [2.370083901538699, 48.87798177617535]}";10;;PLACE DU COLONEL FABIEN;6 h - 22 h
48.8734807411; 2.37528177673;"{""type"": ""Point"", ""coordinates"": [2.375281776729692, 48.87348074112042]}";10;25;BOULEVARD DE LA VILLETTE;6 h - 22 h
48.8763040445; 2.36139576778;"{""type"": ""Point"", ""coordinates"": [2.361395767776341, 48.87630404447861]}";10;1;AVENUE DE VERDUN;24 h / 24
48.8762387309; 2.36817760919;"{""type"": ""Point"", ""coordinates"": [2.368177609189517, 48.87623873088722]}";10;2;RUE DES ECLUSES SAINT MARTIN;6 h - 1 h
48.8771534015; 2.3551008979;"{""type"": ""Point"", ""coordinates"": [2.355100897897021, 48.87715340154196]}";10;face 85 bis;BOULEVARD DE MAGENTA;24 h / 24
48.8832700898; 2.34961000749;"{""type"": ""Point"", ""coordinates"": [2.349610007491825, 48.88327008982752]}";10;opposé au 168;BOULEVARD DE MAGENTA;6 h - 22 h
48.8704916023; 2.35137801617;"{""type"": ""Point"", ""coordinates"": [2.351378016169541, 48.87049160232466]}";10;5;RUE DE MAZAGRAN;24 h / 24
48.8548881939; 2.3728553855;"{""type"": ""Point"", ""coordinates"": [2.372855385502981, 48.85488819385095]}";11;27;RUE DE LA ROQUETTE;24 h / 24
48.8521369726; 2.393718343;"{""type"": ""Point"", ""coordinates"": [2.393718342998497, 48.85213697258905]}";11;44;AVENUE PHILIPPE AUGUSTE;6 h - 22 h
48.8586921502; 2.38394554725;"{""type"": ""Point"", ""coordinates"": [2.383945547253485, 48.85869215015876]}";11;135;RUE DE LA ROQUETTE;6 h - 1 h
48.839165346; 2.39230258734;"{""type"": ""Point"", ""coordinates"": [2.39230258734243, 48.839165346012265]}";12;26;BOULEVARD DE REUILLY;6 h - 22 h
48.8444926866; 2.37744419191;"{""type"": ""Point"", ""coordinates"": [2.377444191914515, 48.84449268657988]}";12;29;RUE ROLAND BARTHES;24 h / 24
48.8449844522; 2.38031784261;"{""type"": ""Point"", ""coordinates"": [2.380317842611193, 48.84498445220782]}";12;111;AVENUE DAUMESNIL;24 h / 24
48.84368377; 2.40188520758;"{""type"": ""Point"", ""coordinates"": [2.40188520758276, 48.843683770004624]}";12;54;BOULEVARD DE PICPUS;6 h - 22 h
48.8471076938; 2.40747877396;"{""type"": ""Point"", ""coordinates"": [2.407478773963453, 48.84710769383865]}";12;90;COURS DE VINCENNES;6 h - 22 h
48.84923929; 2.37108368746;"{""type"": ""Point"", ""coordinates"": [2.371083687457174, 48.84923929002003]}";12;36;AVENUE DAUMESNIL;24 h / 24
