Geo Point;objectid;noms;lieux;mode;prestat;adr_rivoli;adr_rgu;pmr;numquartier;horaires;proxi;qual_lun;qual_mar;qual_mer;qual_jeu;qual_ven;qual_sam;qual_dim;traj_sam;lun_mat_n;lun_mat_s;lun_apm_n;lun_apm_s;mar_mat_n;mar_mat_s;mar_apm_n;mar_apm_s;mer_mat_n;mer_mat_s;mer_apm_n;mer_apm_s;jeu_mat_n;jeu_mat_s;jeu_apm_n;jeu_apm_s;ven_mat_n;ven_mat_s;ven_apm_n;ven_apm_s;sam_a;sam_b;passages;mardi;traj_mardi;jeudi;traj_jeudi;mercredi;traj_mercredi;lundi;traj_lundi;vendredi;traj_vendredi;samedi;traj_samedi
48.1203476496, -1.65469008683;98;Alexis CARELL marché;Face 65 Bd. Alexis Carrel;A;DV PF;0260;v.735;?;6;6h à 23h;Bus n° 1, 30.;SOMMAIRE;;CONTROLE;CONTROLE;;CONTROLE;;0;0;0;11;0;0;0;3;0;0;0;3;0;2;0;2;0;0;0;0;0;0;0;3;Mar_A;11;Jeu_A;1-18;Mer_A;08;;;Ven_A;09;;
48.0909860315, -1.64117204058;40;POTERIE;22 Place du Ronceray;A;DV PF;8297;v.4695;OUI;7;6h à 23h;Bus n° 2, 8, 33.;SOMMAIRE;SOMMAIRE;CONTROLE;CONTROLE;SOMMAIRE;COMPLET;;18;0;0;0;1;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;4;0;0;6;Mar_C;10;Jeu_C;9;;;;;;;;
48.0962890864, -1.64262909635;86;Ferme du LANDRY;198 Rue de Châteaugiron le Parc;MS;DV PF;J018;v.25595;OUI;7;TLJ;Bus n° 1.;;;;;;;;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;3;0;0;3;Mar_C;9;Jeu_C;8;;;;;;;;
48.1062791405, -1.67993041711;507;PLELO Métro;Rue de Plélo;PROJET;PROJET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1154818947, -1.67157416578;91;THABORD GRIGNAN;1 rue de Grignan;A;DV PF;J072;v.28066;OUI;2;Horaires du Parc;Bus n° 3.;COMPLET;SOMMAIRE;;COMPLET;SOMMAIRE;CONTROLE;;10;2;0;0;0;0;0;8;0;3;0;0;0;3;0;0;0;2;0;0;0;10;0;6;Mar_A;03;Jeu_A;03;Mer_A;02;Lun_A;2;Ven_A;02;Sam_B;8
48.1049106967, -1.6866855798;55;ABELARD;Parking 1 rue Pierre Abélard;M;DV PF;7460;v.7572;NON;9;Horaires du parking;;SOMMAIRE;COMPLET;CONTROLE;SOMMAIRE;COMPLET;;;0;0;8;0;0;0;0;0;0;0;0;0;3;0;8;0;0;0;0;0;0;0;0;3;;;;;Mer_C;9;Lun_C;8;Ven_C;7;;
48.0855466847, -1.6923218798;59;Albert BAYET;Place Albert Bayet;A;DV PF;0121;v.26804;OUI;12;6h à 23h;Bus n° 5.;SOMMAIRE;;CONTROLE;SOMMAIRE;COMPLET;;;0;0;0;0;8;0;0;0;12;0;0;0;7;0;0;0;9;0;8;0;9;0;0;6;;;Jeu_C;17;;;Lun_C;17;Ven_C;1-16;;
48.1116892027, -1.68289205791;908;Fontaine Psalette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lun_B;5;;;;
48.1112176044, -1.6787602912;25;MAIRIE OPERA;Place de la Mairie;M;DV PF;6100;v.1330;NON;1;du Lundi au Samedi 8h à 19h40.;Bus n° 15, 9 2 1, métro République.;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;
48.1146336221, -1.67252824213;107;THABORD Jean ZAY;1 place St. Melaine parc;A;DV PF;;;OUI;2;Horaires du Parc;Bus n° 3.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;Mar_A;05;Jeu_A;05;Mer_A;04;Lun_A;4;Ven_A;04;Sam_B;9
48.1395129272, -1.66303962419;32;COULÉE VERTE nord;Promenade de la Tauvrais jardins familliaux;MS;DJ;;;OUI;5;Selon Direction des Jardins;Bus n°3 St Laurent ou Bus n° 5 Patton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mar_A;17;;;Mer_A;16;;;Ven_A;16;;
48.1397713867, -1.64618837812;7;Parc des Bois Chemin de Louvries;rue Maurice AUDIN;M;DJ;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mer_A;15;Lun_A;15;Ven_A;15;;
48.1188327118, -1.69393155418;89;Hôpital PONCHAILLOU;rue Henri Le Guilloux;PRIVE;PRIVE;A014;v.8322;OUI;10;24H / 24H;Bus n° 2 et métro Ponchaillou + parking. Payant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1077043128, -1.67254321347;95;T.N.B.;rue Saint-Hélier;PRIVE;PRIVE;8670;v.24703;OUI;2;Horaires du théâtre;Bus n° 3, 5, 8.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1038837341, -1.67117466986;76;GARE ROUTIERE;Bd Solférino;PRIVE;PRIVE;9070;v.2963;?;2;;Bus n° 41, 42, 43, 63, 2, 11, 17 et arrêt ILLENO + parking + métro gare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.10896878, -1.68384414707;73;Place de BRETAGNE;8 place de Bretagne;A;DV PF;1200;v.5035;OUI;1;6h à 23h;Bus n° 16, 11, 54, 53.;SOMMAIRE;2SOMMAIRES;SOMMAIRE;CONTROLE;SOMMAIRE;SOMMAIRE;;3;0;7;0;0;0;8;0;0;0;10;0;0;0;7;0;0;0;7;0;0;5;0;6;Mar_C;3;Jeu_C;6;Mer_C;8;Lun_C;6;Ven_C;6;Sam_B;2
48.1139008227, -1.66618523752;93;THABORD D./Anne;Coté Bd. de la Duchesse Anne;A;DV PF;J072;v.28125;OUI;2;Horaires du Parc;Bus n° 3.;COMPLET;SOMMAIRE;;SOMMAIRE;;SOMMAIRE;;9;3;0;0;0;0;0;9;0;4;0;0;0;4;0;12;0;3;0;0;0;9;0;6;Mar_A;04;Jeu_A;04;Mer_A;03;Lun_A;3;Ven_A;03;Sam_B;7
48.0950018431, -1.66712977374;23;Sainte THERESE Église;Place Hyacinte Perrin Eglise;A;DV PF;4534;v.27210;OUI;8;6h à 23h;Bus n° 8, 33.;PT;PT;PT;PT;PT;PT;PT;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2;Mar_C;16;Jeu_C;14;;;Lun_C;13;;;;
48.1049786585, -1.67812897724;54;COLOMBIER;22 place du Colombier;A;DV PF;2070;v.27100;OUI;1;6h à 23h;métro Charles De Gaulle;;;;;;;;0;0;4;0;0;0;5;0;0;0;7;0;0;0;4;0;0;0;4;0;0;4;0;6;Mar_C;5;Jeu_C;3;Mer_C;5;Lun_C;3;Ven_C;3;Sam_B;5
48.0814189058, -1.6826759674;62;BREQUIGNY Parc;Allée Ukraine côté Novotel;A;DV PF;J063;v.27652;OUI;12;6h à 23h;Bus n° 3, 33.;COMPLET;;SOMMAIRE;SOMMAIRE;SOMMAIRE;CONTROLE;;22;0;0;0;9;0;0;10;10;0;0;0;8;0;0;0;10;0;0;0;10;22;0;6;;;;;;;Lun_C;19;Ven_C;13;Sam_B;17
48.0914737727, -1.68251152308;63;CHAMP MANCEAU;Rue Louis et René Moines;A;DV PF;3380;v.3284;OUI;12;6h à 23h;Bus n° 3.;COMPLET;SOMMAIRE;SOMMAIRE;COMPLET;SOMMAIRE;;;0;0;0;0;10;0;0;0;9;0;0;0;6;0;0;0;8;0;0;0;8;0;0;5;;;;;Mer_C;13;Lun_C;15;Ven_C;12;;
48.1005880515, -1.70565647822;46;Marché CLEUNAY;Allée Joseph Germains;A;DV PF;4995;v.2600;OUI;9;6h à 23h;Bus n° 9.;COMPLET;CONTROLE;CONTROLE;SOMMAIRE;CONTROLE;;;0;0;10;0;0;0;9;0;13;0;12;11;0;0;0;0;0;0;10;0;0;0;0;5;Mar_C;1-18;Jeu_C;18;;;Lun_C;9;;;;
48.0935098469, -1.67389022302;45;Métro CLEMENCEAU;1 Ave Fréville;A;DV PF;4331;v.7516;OUI;8;6h à 23h;Bus n° 33;;;;;;;;0;0;0;0;6;0;0;0;8;0;0;0;0;0;0;0;6;0;0;0;0;20;0;4;Mar_C;17;Jeu_C;15;Mer_C;11;;;;;;
