geom_x_y;Geometry;OBJECTID;ARRONDISSEMENT;IDENTIFIANT;NUMERO DE VOIE;NOM DE VOIE;X;Y;HORAIRES OUVERTURE
48.8499307054, 2.36673549452;"{""type"": ""Point"", ""coordinates"": [2.366735494522012, 48.849930705384836]}";31;04;4/101;21 bis;BOULEVARD BOURDON;602217.120385;127718.790838;6 h - 22 h
48.8564861574, 2.34979645991;"{""type"": ""Point"", ""coordinates"": [2.349796459913592, 48.856486157358184]}";32;04;4/102;6;QUAI DE GESVRES;600973.89189;128447.402107;24 h / 24
48.8526426927, 2.36835669665;"{""type"": ""Point"", ""coordinates"": [2.368356696645447, 48.85264269270479]}";33;04;4/103;41;BOULEVARD BOURDON;602335.970213;128020.414834;24 h / 24
48.8602128675, 2.35039774649;"{""type"": ""Point"", ""coordinates"": [2.350397746492964, 48.86021286751078]}";37;04;4/113;face 2;RUE AUBRY LE BOUCHER;601017.93912;128861.823002;24 h / 24
48.8582009701, 2.3497975967;"{""type"": ""Point"", ""coordinates"": [2.349797596697657, 48.8582009700761]}";39;04;4/120;14;RUE SAINT MARTIN;600973.942933;128638.090535;24 h / 24
48.8605238452, 2.35117112561;"{""type"": ""Point"", ""coordinates"": [2.351171125609475, 48.860523845175756]}";43;04;4/131;115;RUE SAINT MARTIN;601074.676822;128896.414692;24 h / 24
48.8403933132, 2.3612732609;"{""type"": ""Point"", ""coordinates"": [2.361273260901118, 48.84039331319135]}";44;05;5/101;4;RUE POLIVEAU;601816.604902;126658.079175;24 h / 24
48.849330259, 2.35484617831;"{""type"": ""Point"", ""coordinates"": [2.35484617831496, 48.84933025898464]}";46;05;5/104;9;BOULEVARD SAINT GERMAIN;601344.61505;127651.739022;6 h - 22 h
48.8461292375, 2.34004429125;"{""type"": ""Point"", ""coordinates"": [2.340044291249991, 48.846129237525595]}";57;06;6/112;face 73;BOULEVARD SAINT MICHEL;600258.350318;127295.624681;24 h / 24
48.8527219832, 2.33459026841;"{""type"": ""Point"", ""coordinates"": [2.334590268412054, 48.85272198320083]}";59;06;6/140;17;RUE DU FOUR;599858.088783;128028.738337;24 h / 24
48.8516268274, 2.32518012982;"{""type"": ""Point"", ""coordinates"": [2.32518012982191, 48.85162682743579]}";66;07;7/126;face 12;RUE DE BABYLONE;599167.526668;127907.016454;24 h / 24
48.8651933385, 2.30018344606;"{""type"": ""Point"", ""coordinates"": [2.30018344605526, 48.865193338474064]}";73;08;8/108;2;AVENUE MARCEAU;597333.894291;129416.200724;24 h / 24
48.8701413113, 2.31016091273;"{""type"": ""Point"", ""coordinates"": [2.310160912731215, 48.87014131131522]}";75;08;8/110;4;AVENUE FRANKLIN D ROOSEVELT;598066.081821;129966.114852;6 h - 22 h
48.8746134859, 2.30236199297;"{""type"": ""Point"", ""coordinates"": [2.302361992970424, 48.87461348591688]}";78;08;8/124;face 19;AVENUE DE FRIEDLAND;597494.203387;130463.652826;24 h / 24
48.8754179857, 2.31511516886;"{""type"": ""Point"", ""coordinates"": [2.31511516886159, 48.87541798569831]}";79;08;8/127;face 4;AVENUE DE MESSINE;598429.682433;130552.769736;24 h / 24
48.8820890178, 2.33916330241;"{""type"": ""Point"", ""coordinates"": [2.339163302411379, 48.882089017822835]}";83;09;9/113;5;BOULEVARD DE CLICHY;600193.577557;131294.375135;24 h / 24
48.883534879, 2.33353024813;"{""type"": ""Point"", ""coordinates"": [2.333530248134982, 48.88353487898769]}";87;09;9/117;74;BOULEVARD DE CLICHY;599780.4592;131455.156473;24 h / 24
48.883981308, 2.33178483408;"{""type"": ""Point"", ""coordinates"": [2.331784834078105, 48.8839813080106]}";90;09;9/136;65;BOULEVARD DE CLICHY;599652.458442;131504.806124;24 h / 24
48.8779817762, 2.37008390154;"{""type"": ""Point"", ""coordinates"": [2.370083901538699, 48.87798177617535]}";92;10;10/102;;PLACE DU COLONEL FABIEN;602461.481464;130838.194041;6 h - 22 h
48.8734807411, 2.37528177673;"{""type"": ""Point"", ""coordinates"": [2.375281776729692, 48.87348074112042]}";96;10;10/106;25;BOULEVARD DE LA VILLETTE;602842.976941;130337.85912;6 h - 22 h
48.8763040445, 2.36139576778;"{""type"": ""Point"", ""coordinates"": [2.361395767776341, 48.87630404447861]}";97;10;10/107;1;AVENUE DE VERDUN;601824.305217;130651.381351;24 h / 24
48.8762387309, 2.36817760919;"{""type"": ""Point"", ""coordinates"": [2.368177609189517, 48.87623873088722]}";105;10;10/116;2;RUE DES ECLUSES SAINT MARTIN;602321.743419;130644.305506;6 h - 1 h
48.8771534015, 2.3551008979;"{""type"": ""Point"", ""coordinates"": [2.355100897897021, 48.87715340154196]}";106;10;10/117;face 85 bis;BOULEVARD DE MAGENTA;601362.565838;130745.696913;24 h / 24
48.8832700898, 2.34961000749;"{""type"": ""Point"", ""coordinates"": [2.349610007491825, 48.88327008982752]}";112;10;10/123;opposé au 168;BOULEVARD DE MAGENTA;600959.712559;131425.791911;6 h - 22 h
48.8704916023, 2.35137801617;"{""type"": ""Point"", ""coordinates"": [2.351378016169541, 48.87049160232466]}";118;10;10/139;5;RUE DE MAZAGRAN;601089.645335;130004.839311;24 h / 24
